nThreads, rep, MatrixName, NRows, NCol, NZ, k, hackSize, time, err_rel, speedup, bandwidth, GFLOPS
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.007885, 0.025000, 1.129032
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.008033, 0.025469, 1.150235
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.007949, 0.025203, 1.138211
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.007967, 0.025262, 1.140861
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.008255, 0.026176, 1.182147
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007312, 0.030876, 1.047009
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007480, 0.031585, 1.071038
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007242, 0.030582, 1.037037
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007375, 0.031142, 1.056034
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000004, 3.609059, 0.005232, 0.022095, 0.749236
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007288, 0.030777, 1.043663
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007304, 0.030843, 1.045891
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007407, 0.031277, 1.060606
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007367, 0.031109, 1.054898
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 64, 0.000003, 3.609059, 0.007391, 0.031210, 1.058315
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.019028, 0.051061, 2.772277
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.019413, 0.052092, 2.828283
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.019082, 0.051206, 2.780142
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.019385, 0.052017, 2.824208
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.018842, 0.050560, 2.745098
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.019497, 0.052319, 2.840580
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.018763, 0.050349, 2.733612
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.019413, 0.052092, 2.828283
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.018842, 0.050560, 2.745098
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 32, 0.000002, 3.904513, 0.019441, 0.052168, 2.832370
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015772, 0.050762, 2.297773
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015865, 0.051061, 2.311321
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.016267, 0.052358, 2.370012
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015902, 0.051182, 2.316785
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015571, 0.050116, 2.268519
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015959, 0.051364, 2.325030
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015883, 0.051122, 2.314050
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015809, 0.050881, 2.303173
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015997, 0.051486, 2.330559
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 64, 0.000003, 3.904513, 0.015883, 0.051122, 2.314050
0, 0, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.084418, 0.657371, 12.918104
0, 1, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.082707, 0.644046, 12.656249
0, 2, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.083840, 0.652868, 12.829623
0, 3, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.081604, 0.635458, 12.487499
0, 4, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.084418, 0.657371, 12.918104
0, 5, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.085599, 0.666565, 13.098776
0, 6, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.083554, 0.650640, 12.785837
0, 7, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.079874, 0.621982, 12.222675
0, 8, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000003, 25.669422, 0.060077, 0.467822, 9.193252
0, 9, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 32, 0.000002, 25.669422, 0.081064, 0.631250, 12.404801
0, 0, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.085599, 0.665865, 13.098776
0, 1, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.084273, 0.655551, 12.895869
0, 2, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.082987, 0.645551, 12.699152
0, 3, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.086659, 0.674115, 13.261062
0, 4, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.084273, 0.655551, 12.895869
0, 5, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 64, 0.000002, 25.669422, 0.083984, 0.653302, 12.851629
